jobId,4x4,enqueued_time,started_working_time,finished_time
12920cbd-4a62-49db-b2c6-a16625a67f86,eqdx-4qxd,2016-04-22T02:24:26.459-07:00,2016-04-22T02:24:26.788-07:00,2016-04-22T02:24:28.443-07:00
4e6a3840-731c-4860-912f-f6aa8f6662a7,n4j6-wkkf,2016-04-06T14:18:27.246-07:00,2016-04-06T14:18:27.673-07:00,2016-04-06T14:18:31.322-07:00
18fae6f6-23f2-4468-a020-d9a5327f0089,n4j6-wkkf,2016-04-06T13:48:29.580-07:00,2016-04-06T13:48:30.015-07:00,2016-04-06T13:48:32.262-07:00
c62dac7c-0ded-4430-9495-e2b7b7519fde,t2qc-9pjd,2016-04-22T02:18:28.696-07:00,2016-04-22T02:18:28.991-07:00,2016-04-22T02:18:30.901-07:00
5393d9ef-0152-4ff2-8d38-e023f2f62dba,rsxa-ify5,2016-04-03T01:15:48.149-07:00,2016-04-03T01:15:48.454-07:00,2016-04-03T01:16:04.664-07:00
b67d263b-5e9c-4cce-aeb7-8df31f9d9f44,n4j6-wkkf,2016-04-11T20:48:28.333-07:00,2016-04-11T20:48:28.658-07:00,2016-04-11T20:48:30.773-07:00
691b2cc7-874e-47ea-a9a1-7a4b0dd45838,n4j6-wkkf,2016-04-20T08:33:29.291-07:00,2016-04-20T08:33:29.691-07:00,2016-04-20T08:33:31.927-07:00
510d9be3-cc85-471b-9f1d-c01951560b94,5k2z-suxx,2016-04-17T03:16:28.751-07:00,2016-04-17T03:16:29.134-07:00,2016-04-17T03:16:30.729-07:00
3387b213-b0be-4df1-bb13-08d46faec001,ygr5-vcbg,2016-04-14T11:46:27.806-07:00,2016-04-14T11:46:28.134-07:00,2016-04-14T11:46:29.652-07:00
dad6bd69-f604-4f39-98a6-e9f6161e0112,ygr5-vcbg,2016-03-29T02:46:27.924-07:00,2016-03-29T02:46:28.177-07:00,2016-03-29T02:46:29.728-07:00
5c2ae357-f17b-469b-bde1-741b21cefa18,ygr5-vcbg,2016-04-13T22:46:30.014-07:00,2016-04-13T22:46:30.453-07:00,2016-04-13T22:46:33.300-07:00
9d4b04f8-83ef-4ad5-a6a5-ea67f6334abc,5k2z-suxx,2016-04-13T11:16:28.769-07:00,2016-04-13T11:16:29.063-07:00,2016-04-13T11:16:30.255-07:00
b6e883c2-874a-4e86-a989-b8c4e6407efc,5k2z-suxx,2016-04-11T21:46:26.849-07:00,2016-04-11T21:46:27.213-07:00,2016-04-11T21:46:28.377-07:00
582cc628-09b1-4046-9b22-743b880bba43,5k2z-suxx,2016-04-17T11:01:26.721-07:00,2016-04-17T11:01:27.053-07:00,2016-04-17T11:01:28.860-07:00
0241097e-0af6-4c08-addb-b3093b137fcd,t2qc-9pjd,2016-04-22T15:18:24.976-07:00,2016-04-22T15:18:25.292-07:00,2016-04-22T15:18:27.253-07:00
cc31b4f5-bbf6-4131-beba-ef8aa9fb5ae0,5k2z-suxx,2016-04-12T14:46:27.182-07:00,2016-04-12T14:46:27.478-07:00,2016-04-12T14:46:28.421-07:00
501ff5b0-fffe-4c13-b17a-f47be6ba20c4,t2qc-9pjd,2016-03-31T21:03:26.469-07:00,2016-03-31T21:03:26.846-07:00,2016-03-31T21:03:28.812-07:00
1012c810-eb16-4972-87da-24297d1211d2,t2qc-9pjd,2016-03-30T18:03:25.669-07:00,2016-03-30T18:03:26.217-07:00,2016-03-30T18:03:28.388-07:00
8f3652c0-6450-42b8-99e6-75c9b4e0a2ed,t2qc-9pjd,2016-04-11T14:33:25.815-07:00,2016-04-11T14:33:26.195-07:00,2016-04-11T14:33:28.165-07:00
